Member_ID,gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,cluster_0_prob,cluster_1_prob,cluster_2_prob,Churn
0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,-0.8531787198088718,0.8,0.0,-1.33825433989983,-1.10210311608472,0.0,1.0,0.0,0
1,-1.0,0.0,0.0,0.0,0.0,2.2,1.0,0.3,-0.1847011418691969,2.2,1.0,0.0639357891747933,0.11324843647675042,0.0,0.0,1.0,0
2,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.25,-0.04222457804035288,0.0,-0.25,0.019442024042253564,0.014883237229657722,1.0,0.0,0.0,0
3,-1.0,0.0,1.0,1.0,0.0,2.2,1.0,1.0,-0.5122291011185011,2.2,-0.25,1.0137230321685966,1.0573893752821006,0.0,0.0,1.0,0
4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.7,0.41846230646134963,0.0,0.0,-0.5334465243456243,-0.40048014131979404,1.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,2.2191329918459255,0.0,0.0,0.5838590741592848,0.5941235378745736,1.0,0.0,0.0,0
6,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.75,-0.28984489081460674,1.0,-0.25,-0.5123219882033162,-0.2805310359919644,0.0,1.0,0.0,0
7,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5795213934602549,0.0,-0.75,-0.45726634249123693,-0.4270960077342511,1.0,0.0,0.0,1
8,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.5,-0.6337089536732973,0.0,-0.5,-0.53646936328286,-0.42069845748293155,1.0,0.0,0.0,0
9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.493641274694611,0.0,2.0,-0.01618314902680072,0.15309335197550114,1.0,0.0,0.0,0
10,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.5,0.6404834517270638,1.0,0.0,-0.14410566918154052,-0.23947889336038755,0.0,1.0,0.0,0
11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.9243757617506462,0.0,-0.25,0.3808422932670552,-0.08300882835157432,1.0,0.0,0.0,1
12,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.09128800208276545,0.0,0.25,1.1340622808900518,1.0796703235801097,1.0,0.0,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.12176795325317662,0.0,-0.5,-1.3533161842983512,-1.10210311608472,1.0,0.0,0.0,1
14,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,0.5000973113229551,0.4,1.25,0.10465543673899223,0.247898828704471,0.0,1.0,0.0,0
15,-1.0,0.0,1.0,1.0,0.0,2.2,0.0,-0.1,-0.26849260584889395,1.8,0.25,0.7487522234758494,0.7154279677576313,0.0,0.0,1.0,0
16,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,-0.8690300892248258,0.0,-0.75,1.1146094235003652,0.960265835609396,1.0,0.0,0.0,0
17,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.30025427987702547,0.8,-0.5,-0.8626623288269607,-0.7097622994784685,0.0,1.0,0.0,0
18,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,-0.2649440817431142,0.0,1.25,-0.24049158853599026,-0.08659667527882896,1.0,0.0,0.0,0
19,0.0,0.0,1.0,1.0,0.0,2.2,1.0,0.0,-0.4330651100811872,2.0,2.75,-0.5105603273735596,-0.3569395735818364,0.0,0.0,1.0,0
20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.429813781866699,1.0,-0.5,1.27804528698597,1.136082351339045,0.0,1.0,0.0,0
21,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.12493463936263773,0.0,0.0,-0.8834118663594389,-1.10210311608472,1.0,0.0,0.0,1
22,0.0,0.0,0.0,0.0,0.0,2.2,1.0,-0.1,-0.27709443696234837,2.2,-0.5,1.5235370972766147,1.2832715312735314,0.0,0.0,1.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.9898037350880885,0.0,-0.5,-0.30431771682768455,-0.431139368694979,1.0,0.0,0.0,1
