Mamber_ID,gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn,cluster_0_prob,cluster_1_prob,cluster_2_prob,Churn
1161,0,1,1,1,1,12,0,31,183.34002886507847,11.0,8,3.59050531834263,3.4736797557891186,0,0.0,0.0,1.0,0
2355,0,1,0,0,1,1,0,30,40.55941737577624,1.0,26,1.6630335970742496,1.7503012803414824,0,1.0,0.0,0.0,0
1831,1,1,1,0,1,12,0,27,32.123603937053325,12.0,5,1.06027172029689,0.913766433367088,0,0.0,0.0,1.0,0
156,0,1,1,1,1,6,0,26,54.69421089191693,6.0,9,2.531159142810844,2.4468416890583,0,0.0,1.0,0.0,0
195,0,1,0,0,0,1,0,29,241.7016740555345,1.0,4,1.690379651877285,1.5950648887526482,0,1.0,0.0,0.0,0
616,1,1,1,1,1,12,0,33,172.7967813835641,10.0,6,2.1868481730652425,2.226153642470338,0,0.0,0.0,1.0,0
2812,1,1,0,1,1,1,0,26,307.97404364982515,1.0,1,1.7700079809206744,1.1803313499927204,1,1.0,0.0,0.0,1
3069,1,1,1,1,0,12,0,27,3.520302781065176,11.0,7,2.4534152757294314,2.38017681359078,0,0.0,0.0,1.0,0
2223,0,1,0,0,1,1,1,33,323.5337154770976,1.0,5,2.9198935160745734,2.906842289142616,0,1.0,0.0,0.0,0
5,1,1,0,0,1,1,1,34,450.7439599104914,1.0,3,2.6234768072839807,2.6370069647681804,0,1.0,0.0,0.0,0
1128,1,1,0,0,1,1,0,30,54.02212564226403,1.0,1,1.6924265915198804,0.7884585809527436,1,1.0,0.0,0.0,1
2983,1,1,0,0,1,1,0,29,75.53808544327066,1.0,0,1.700321479327499,1.2830605143438842,1,1.0,0.0,0.0,1
3488,0,0,0,0,1,1,0,26,48.80268360502068,1.0,0,2.2342488023347182,2.2136828436173994,1,1.0,0.0,0.0,1
3819,0,1,1,1,1,12,0,33,237.37653218894408,12.0,3,1.3535745489466648,1.4217934978408018,0,0.0,0.0,1.0,0
2543,1,1,0,1,1,1,1,32,28.98466900301688,1.0,0,1.0614892167110832,0.3277025070086424,1,1.0,0.0,0.0,1
3403,1,1,1,1,1,12,0,31,48.27545976087409,11.0,6,1.894392479361603,1.901030183605696,0,0.0,0.0,1.0,0
3411,1,1,0,0,1,1,0,25,93.096462399476,1.0,0,0.8192036911187058,0.6345661634397981,1,1.0,0.0,0.0,1
1397,0,0,0,0,0,1,0,33,152.13022779038675,1.0,1,1.2825255927695745,1.3396836195117363,0,1.0,0.0,0.0,0
1742,1,1,1,1,1,12,1,35,325.54060315203526,12.0,8,1.7154302935811585,1.846310687059228,0,0.0,0.0,1.0,0
369,1,1,0,0,1,12,1,34,198.9603479394333,9.0,3,2.9178525260485584,2.797272001893256,0,0.0,0.0,1.0,0
104,0,1,0,0,1,12,0,31,29.41397013659436,12.0,20,1.4514353286809352,1.4390183528850824,0,0.0,0.0,1.0,0
982,0,1,0,0,0,1,0,30,107.73050682718424,1.0,0,1.1885843149475952,1.481934797967725,1,1.0,0.0,0.0,1
1824,0,1,0,0,1,1,1,27,69.35291737760048,1.0,4,2.1039873196731227,2.178061030956395,0,1.0,0.0,0.0,0
1362,0,1,0,0,1,1,1,29,264.60551415647086,1.0,0,2.355562612407676,2.3723301792604268,0,1.0,0.0,0.0,0
1077,1,1,0,0,0,1,1,31,342.1125579154743,1.0,10,1.7345026176811893,1.7882945702554656,0,1.0,0.0,0.0,0
1101,1,1,1,1,1,12,0,29,110.84296759529934,10.0,2,1.4183257005754366,1.36257481837677,0,0.0,0.0,1.0,0
3020,0,1,0,0,1,1,0,30,20.711405156931438,1.0,0,0.6838390284251635,0.0,1,1.0,0.0,0.0,1
1367,1,1,0,0,0,1,0,27,319.3403417635735,1.0,11,2.7540962159104816,2.8546881208423898,0,1.0,0.0,0.0,0
2627,1,1,1,1,0,6,1,34,13.41430393330576,5.0,8,3.896427326183949,3.939824442627673,0,0.0,1.0,0.0,0
